,number_of_visits,total_quantity,average_quantity,total_spend,average_spend,BAKERY,CASHPOINT,CONFECTIONARY,DAIRY,DELI,DISCOUNT_BAKERY,DRINKS,FROZEN,FRUIT_VEG,GROCERY_FOOD,GROCERY_HEALTH_PETS,LOTTERY,MEAT,NEWSPAPERS_MAGAZINES,PRACTICAL_ITEMS,PREPARED_MEALS,SEASONAL_GIFTING,SOFT_DRINKS,TOBACCO,WORLD_FOODS,cluster_group
202,17,240,14.12,391.68,23.04,3.6,0.0,11.41,19.06,0.0,0.0,134.46,0.0,47.88,53.35,29.26,0.0,20.94,0.9,0.0,15.55,1.18,2.56,0.0,0.0,5.0
203,40,432,10.8,668.68,16.72,41.42,20.0,62.0,99.96,1.3,0.0,0.0,11.05,87.3,28.77,26.62,8.0,48.27,9.5,0.0,45.29,116.37,17.24,0.0,0.0,5.0
204,107,541,5.06,783.87,7.33,8.16,0.0,31.86,38.62,4.7,5.74,517.62,12.63,79.83,79.07,10.04,0.0,42.66,16.2,1.95,7.0,6.8,0.0,0.0,0.8,4.0
205,21,351,16.71,358.14,17.05,4.12,0.0,22.6,41.61,7.83,0.0,26.17,8.42,60.16,19.77,8.8,0.0,7.38,1.0,0.0,11.5,89.45,11.61,0.0,11.1,5.0
206,76,722,9.5,848.79,11.17,24.96,53.0,69.47,123.16,4.46,0.0,52.96,34.43,160.17,80.07,48.33,2.0,50.54,6.25,0.0,21.17,0.84,0.43,0.0,15.49,4.0
207,58,317,5.47,349.87,6.03,12.88,0.0,33.55,31.64,20.31,0.0,0.0,26.01,5.54,22.29,7.62,0.0,3.4,18.58,0.0,40.7,0.0,12.14,0.0,0.0,5.0
208,58,271,4.67,271.2,4.68,7.84,15.0,39.79,27.41,1.5,0.0,29.71,6.87,16.96,17.75,25.26,0.0,0.0,0.85,0.0,4.02,2.74,10.78,0.0,0.0,5.0
209,69,437,6.33,418.58,6.07,25.73,0.0,37.08,23.07,0.0,0.0,7.65,9.9,39.35,49.51,3.56,0.0,6.16,12.3,0.0,31.35,0.0,2.08,0.0,0.0,4.0
210,26,253,9.73,215.26,8.28,8.54,0.0,27.43,36.51,0.0,2.54,0.0,17.69,23.08,12.53,13.87,0.0,8.28,11.71,0.0,9.75,0.0,13.49,0.0,0.0,5.0
211,31,1273,41.06,1730.24,55.81,20.96,0.0,201.69,354.72,59.05,0.0,0.0,112.71,375.8,275.77,87.05,0.0,133.02,22.71,17.19,86.62,20.06,8.21,0.0,1.44,2.0
212,195,417,2.14,403.79,2.07,7.51,15.0,13.71,66.49,0.0,0.0,29.58,8.96,24.17,51.41,13.86,0.0,13.33,11.42,0.0,6.42,0.0,2.54,0.0,0.0,3.0
213,33,495,15.0,647.31,19.62,12.38,0.0,44.84,147.99,1.69,0.0,156.62,36.84,96.12,65.84,22.29,0.0,30.91,6.3,0.0,11.32,6.8,3.85,7.11,32.26,5.0
214,9,91,10.11,154.58,17.18,5.15,0.0,39.72,33.83,14.83,1.0,0.0,4.96,1.67,4.92,14.1,0.0,3.49,1.72,0.0,4.0,0.0,66.75,0.0,0.0,5.0
215,90,340,3.78,582.47,6.47,3.11,0.0,9.27,50.61,0.0,0.0,166.77,3.25,47.75,47.47,1.92,0.0,14.47,8.75,0.0,0.0,0.0,12.64,0.0,0.0,4.0
216,14,360,25.71,588.01,42.0,12.86,0.0,49.4,76.25,0.0,4.2,28.42,17.15,63.82,74.97,18.34,0.0,136.23,1.2,6.78,21.22,0.0,4.17,0.0,0.99,1.0
217,24,552,23.0,777.76,32.41,3.71,0.0,78.35,111.04,14.15,0.0,11.92,12.54,59.16,166.86,21.38,0.0,21.24,0.0,1.86,73.43,0.0,13.29,0.0,0.28,1.0
218,37,713,19.27,662.78,17.91,13.97,0.0,76.43,168.24,3.07,0.0,4.76,20.88,92.21,155.69,54.22,0.0,24.8,3.49,0.0,11.35,65.95,1.94,0.0,0.0,1.0
219,80,454,5.68,437.21,5.47,14.19,0.0,65.32,142.96,8.15,0.0,0.0,12.68,81.6,74.25,14.17,0.0,29.81,3.15,0.0,4.0,1.33,0.0,0.0,2.67,4.0
220,81,673,8.31,767.9,9.48,18.87,0.0,25.74,120.52,3.15,0.0,93.18,13.74,88.25,88.04,84.87,0.0,25.69,0.0,0.0,11.49,0.0,0.0,0.0,2.24,4.0
221,21,211,10.05,332.57,15.84,2.91,0.0,37.25,30.11,0.0,0.0,39.36,0.0,78.11,27.27,18.15,0.0,21.81,2.2,0.0,0.0,2.55,5.73,0.0,0.89,5.0
